Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/,25,0,11000.0,9076.051176008768,2999.665500014089,11682.384700048715,75.44,2.1175681094132863,0.0,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
,Aggregated,25,0,11000.0,9076.051176008768,2999.665500014089,11682.384700048715,75.44,2.1175681094132863,0.0,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
